Monat,Faschos
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,<1
2005-08,0
2005-09,<1
2005-10,0
2005-11,0
2005-12,0
2006-01,<1
2006-02,0
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,0
2006-09,0
2006-10,<1
2006-11,0
2006-12,0
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,<1
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,<1
2008-05,<1
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,<1
2008-10,<1
2008-11,<1
2008-12,<1
2009-01,<1
2009-02,<1
2009-03,<1
2009-04,<1
2009-05,<1
2009-06,<1
2009-07,<1
2009-08,<1
2009-09,<1
2009-10,<1
2009-11,<1
2009-12,<1
2010-01,<1
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,<1
2010-06,<1
2010-07,<1
2010-08,<1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,<1
2011-02,<1
2011-03,<1
2011-04,<1
2011-05,<1
2011-06,<1
2011-07,<1
2011-08,<1
2011-09,<1
2011-10,<1
2011-11,<1
2011-12,<1
2012-01,<1
2012-02,<1
2012-03,<1
2012-04,<1
2012-05,<1
2012-06,<1
2012-07,<1
2012-08,<1
2012-09,<1
2012-10,<1
2012-11,<1
2012-12,<1
2013-01,<1
2013-02,<1
2013-03,4
2013-04,8
2013-05,5
2013-06,3
2013-07,3
2013-08,7
2013-09,30
2013-10,2
2013-11,2
2013-12,2
2014-01,2
2014-02,2
2014-03,2
2014-04,2
2014-05,9
2014-06,2
2014-07,1
2014-08,2
2014-09,7
2014-10,3
2014-11,2
2014-12,3
2015-01,4
2015-02,2
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,4
2015-08,2
2015-09,4
2015-10,6
2015-11,7
2015-12,6
2016-01,12
2016-02,14
2016-03,29
2016-04,8
2016-05,10
2016-06,8
2016-07,7
2016-08,7
2016-09,15
2016-10,6
2016-11,11
2016-12,12
2017-01,13
2017-02,12
2017-03,11
2017-04,17
2017-05,13
2017-06,8
2017-07,9
2017-08,16
2017-09,78
2017-10,16
2017-11,11
2017-12,12
2018-01,13
2018-02,16
2018-03,13
2018-04,10
2018-05,13
2018-06,14
2018-07,11
2018-08,12
2018-09,21
2018-10,23
2018-11,13
2018-12,11
2019-01,12
2019-02,9
2019-03,9
2019-04,11
2019-05,21
2019-06,11
2019-07,11
2019-08,12
2019-09,15
2019-10,13
2019-11,13
2019-12,10
2020-01,8
2020-02,19
2020-03,11
2020-04,8
2020-05,8
2020-06,7
2020-07,7
2020-08,7
2020-09,10
2020-10,7
2020-11,9
2020-12,8
2021-01,7
2021-02,8
2021-03,9
2021-04,10
2021-05,7
2021-06,8
2021-07,6
2021-08,11
2021-09,26
2021-10,7
2021-11,6
2021-12,8
2022-01,6
2022-02,6
2022-03,5
2022-04,4
2022-05,5
2022-06,5
2022-07,4
2022-08,4
2022-09,7
2022-10,7
2022-11,4
2022-12,5
2023-01,5
2023-02,6
2023-03,5
2023-04,5
2023-05,8
2023-06,18
2023-07,20
2023-08,17
2023-09,23
2023-10,26
2023-11,12
2023-12,14
2024-01,48
2024-02,23
2024-03,15
2024-04,15
2024-05,22
2024-06,43
2024-07,10
2024-08,15
2024-09,25
2024-10,12
2024-11,15
2024-12,21
2025-01,52
2025-02,100
2025-03,17
2025-04,15
2025-05,25
2025-06,10
2025-07,17
